728230,0.753250635496363,-29,1
973243,0.316079067183171,-26,1
1166529,0.724181305401297,-7,1
324296,0.769015997431987,-4,1
270902,0.774659557077937,-4,1
432758,0.758192828569494,-6,1
210293,0.780800378473052,-29,1
348645,0.766513033026278,-27,1
551379,0.745467703751153,-145,1
1381411,0.662782686986669,-20,1
1768882,0.623931052606427,-12,2
1768882,0.623931052606427,-12,2
3200763,0.0944939851920091,-14,2
1843250,0.615571918053058,-10,2
888153,0.699855072461245,-13,2
1623911,0.637634747610325,-5,2
1450898,0.656765679352342,-16,2
4692471,0.494007942724961,-30,2
9163457,0.0581548452010923,-340,2
3683558,0.559727825508513,-42,2
1959295,0.600555435977715,-75,3
1997638,0.59172843791822,-49,3
2133938,0.579479002759442,-55,3
909077,0.713335925785082,-29,3
940161,0.702966071810146,-21,3
759384,0.724704918682171,-19,3
763073,0.747392736826111,-13,3
2529209,0.636180782957825,-117,3
2544878,0.633535678117008,-75,3
3709460,0.664786887703475,-272,3
